Plate,Row,ColPair,Column,Sample,WellGroup,WellGroupType,Time
1,D,6,11,96,D_6,Test sample,60
1,D,6,11,96,D_6,Test sample,120
1,D,6,11,96,D_6,Test sample,180
1,D,6,11,96,D_6,Test sample,240
1,D,6,11,96,D_6,Test sample,360
1,D,6,11,96,D_6,Test sample,1440
1,D,6,11,96,D_6,Test sample,1800
1,D,6,12,96,D_6,Test sample,0
1,D,6,12,96,D_6,Test sample,20
1,D,6,12,96,D_6,Test sample,60
1,D,6,12,96,D_6,Test sample,120
1,D,6,12,96,D_6,Test sample,180
1,D,6,12,96,D_6,Test sample,240
1,D,6,12,96,D_6,Test sample,360
1,D,6,12,96,D_6,Test sample,1440
1,D,6,12,96,D_6,Test sample,1800
1,E,1,1,142,E_1,Test sample,0
1,E,1,1,142,E_1,Test sample,20
1,E,1,1,142,E_1,Test sample,60
1,E,1,1,142,E_1,Test sample,120
1,E,1,1,142,E_1,Test sample,180
1,E,1,1,142,E_1,Test sample,240
1,E,1,1,142,E_1,Test sample,360
1,E,1,1,142,E_1,Test sample,1440
1,E,1,1,142,E_1,Test sample,1800
1,E,1,2,142,E_1,Test sample,0
1,E,1,2,142,E_1,Test sample,20
1,E,1,2,142,E_1,Test sample,60
1,E,1,2,142,E_1,Test sample,120
1,E,1,2,142,E_1,Test sample,180
1,E,1,2,142,E_1,Test sample,240
1,E,1,2,142,E_1,Test sample,360
1,E,1,2,142,E_1,Test sample,1440
1,E,1,2,142,E_1,Test sample,1800
1,E,2,3,157,E_2,Test sample,0
1,E,2,3,157,E_2,Test sample,20
1,E,2,3,157,E_2,Test sample,60
1,E,2,3,157,E_2,Test sample,120
1,E,2,3,157,E_2,Test sample,180
1,E,2,3,157,E_2,Test sample,240
1,E,2,3,157,E_2,Test sample,360
1,E,2,3,157,E_2,Test sample,1440
1,E,2,3,157,E_2,Test sample,1800
1,E,2,4,157,E_2,Test sample,0
1,E,2,4,157,E_2,Test sample,20
1,E,2,4,157,E_2,Test sample,60
1,E,2,4,157,E_2,Test sample,120
1,E,2,4,157,E_2,Test sample,180
1,E,2,4,157,E_2,Test sample,240
1,E,2,4,157,E_2,Test sample,360
1,E,2,4,157,E_2,Test sample,1440
1,E,2,4,157,E_2,Test sample,1800
