Plate,Row,ColPair,Col,Sample,ID,WellGroup,WellGroupType,Mass_sample,Time,OD_sample,Mass_blk,OD_blk,Slope,Mean_slope,C_sample,C_blk,C_spl_nor,C_blk_nor,mean_blk,C,Hydro_extent,Amylose_content,D1,D5,D9,h,k,Xinf,mean_Peak,mean_Trough,mean_Final,mean_PastingTemp
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,20,0.151,10.08,0.079,0.1891,0.1899,0.795155344918378,0.41600842548709843,0.765308320421923,0.4127067713165659,0.47743471557154177,0.2878736048503812,2.590862443653431,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,60,0.326,10.08,0.087,0.1891,0.1899,1.7166929963138493,0.4581358609794628,1.652255049387728,0.4544998620828004,0.47743471557154177,1.1748203338161862,10.573383004345677,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,120,0.51,10.08,0.085,0.1891,0.1899,2.6856240126382307,0.4476040021063718,2.5848161815574886,0.4440515893912419,0.47743471557154177,2.107381465985947,18.96643319387352,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,180,0.665,10.08,0.084,0.1891,0.1899,3.5018430753027907,0.4423380726698262,3.3703975700700584,0.4388274530454625,0.47743471557154177,2.8929628544985166,26.03666569048665,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,240,0.87,10.08,0.084,0.1891,0.1899,4.581358609794629,0.4423380726698262,4.409392309715716,0.4388274530454625,0.47743471557154177,3.931957594144174,35.38761834729757,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,360,1.16,10.08,0.089,0.1891,0.1899,6.108478146392837,0.4686677198525539,5.8791897462876195,0.464948134774359,0.47743471557154177,5.401755030716077,48.61579527644469,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,1440,1.642,10.08,0.084,0.1907,0.1899,8.646656134807792,0.4423380726698262,8.322094451210578,0.4388274530454625,0.47743471557154177,7.844659735639036,70.60193762075133,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,4,7,197,cav4080268,F_4,Test sample,10.39,1800,1.728,10.08,0.086,0.1907,0.1899,9.09952606635071,0.45286993154291727,8.757965415159491,0.4492757257370211,0.47743471557154177,8.280530699587949,74.52477629629153,29.596961483071446,8.685,17.884,29.0215,-0.14835174764241782,0.0012282606394326677,72.91155607088959,157.08,119.92,260,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,0,0.123,9.95,0.142,0.1891,0.1899,0.6477093206951027,0.747761979989468,0.6542518390859623,0.7515195778788624,0.47743471557154177,0.17681712351442053,1.591354111629785,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,20,0.185,9.95,0.083,0.1891,0.1899,0.9741969457609267,0.43707214323328064,0.984037318950431,0.4392684856615886,0.47743471557154177,0.5066026033788893,4.559423430410004,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,60,0.324,9.95,0.088,0.1891,0.1899,1.7061611374407581,0.4634017904160084,1.7233950883239983,0.4657304426291542,0.47743471557154177,1.2459603727524566,11.21364335477211,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,120,0.512,9.95,0.091,0.1891,0.1899,2.6961558715113214,0.479199578725645,2.723389769203355,0.48160761680969355,0.47743471557154177,2.245955053631813,20.21359548268632,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,180,0.646,9.95,0.085,0.1891,0.1899,3.401790416008425,0.4476040021063718,3.4361519353620453,0.4498532684486149,0.47743471557154177,2.9587172197905036,26.628454978114537,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,240,0.859,9.95,0.092,0.1891,0.1899,4.523433385992627,0.4844655081621906,4.569124632315784,0.48690000820320667,0.47743471557154177,4.091689916744242,36.82520925069818,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,360,1.135,9.95,0.094,0.1891,0.1899,5.976829910479199,0.4949973670352817,6.037201929776969,0.49748479099023285,0.47743471557154177,5.559767214205427,50.03790492784884,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,1440,1.59,9.95,0.085,0.1907,0.1899,8.372827804107425,0.4476040021063718,8.457401822330732,0.4498532684486149,0.47743471557154177,7.97996710675919,71.81970396083271,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,5,9,118,cav4080395,F_5,Test sample,9.9,1800,1.666,9.95,0.088,0.1907,0.1899,8.773038441284886,0.4634017904160084,8.861654991196852,0.4657304426291542,0.47743471557154177,8.38422027562531,75.45798248062779,29.738956291217363,3.4445,16.49475,32.08875,0.04648509342864624,0.0033372167500942415,78.5173792387763,190.33,135.42,284.08,50.05
3,F,6,11,46,cav4080018,F_6,Test sample,10,0,0.145,10.4,0.176,0.1891,0.1899,0.7635597682991047,0.9268035808320167,0.7635597682991047,0.8911572892615546,0.47743471557154177,0.2861250527275629,2.575125474548066,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,20,0.183,10.4,0.081,0.1891,0.1899,0.9636650868878356,0.42654028436018954,0.9636650868878356,0.4101348888078746,0.47743471557154177,0.4862303713162938,4.376073341846644,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,60,0.34,10.4,0.087,0.1891,0.1899,1.7904160084254872,0.4581358609794628,1.7904160084254872,0.4405152509417911,0.47743471557154177,1.3129812928539455,11.81683163568551,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,120,0.546,10.4,0.08,0.1891,0.1899,2.8751974723538707,0.421274354923644,2.8751974723538707,0.40507149511888846,0.47743471557154177,2.397762756782329,21.57986481104096,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,180,0.75,10.4,0.084,0.1891,0.1899,3.9494470774091623,0.4423380726698262,3.9494470774091623,0.42532506987483293,0.47743471557154177,3.4720123618376206,31.248111256538586,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,240,0.853,10.4,0.085,0.1891,0.1899,4.491837809373354,0.4476040021063718,4.491837809373354,0.43038846356381905,0.47743471557154177,4.014403093801812,36.12962784421631,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,360,1.208,10.4,0.088,0.1891,0.1899,6.361242759347024,0.4634017904160084,6.361242759347024,0.4455786446307773,0.47743471557154177,5.883808043775482,52.95427239397934,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,1440,1.596,10.4,0.08,0.1907,0.1899,8.404423380726698,0.421274354923644,8.404423380726698,0.40507149511888846,0.47743471557154177,7.9269886651551555,71.34289798639641,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,F,6,11,46,cav4080018,F_6,Test sample,10,1800,1.674,10.4,0.083,0.1907,0.1899,8.81516587677725,0.43707214323328064,8.81516587677725,0.42026167618584676,0.47743471557154177,8.337731161205708,75.03958045085137,28.325740387611038,4.1195,19.3975,35.914500000000004,0.013139596874582452,0.002889044433162851,74.35156148391447,226.83,120.75,254.67,49.9
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,0,0.154,10.05,0.142,0.1891,0.1899,0.8109531332280147,0.747761979989468,0.8249777550641044,0.744041771133799,0.47743471557154177,0.34754303949256266,3.127887355433064,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,20,0.156,10.05,0.08,0.1891,0.1899,0.8214849921011058,0.421274354923644,0.8356917518831188,0.419178462610591,0.47743471557154177,0.35825703631157707,3.2243133268041935,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,60,0.32,10.05,0.085,0.1891,0.1899,1.685097419694576,0.4476040021063718,1.7142394910422951,0.445377116523753,0.47743471557154177,1.2368047754707534,11.13124297923678,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,120,0.512,10.05,0.082,0.1891,0.1899,2.6961558715113214,0.4318062137967351,2.7427831856676717,0.42965792417585574,0.47743471557154177,2.26534847009613,20.388136230865168,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,180,0.662,10.05,0.088,0.1891,0.1899,3.4860452869931544,0.4634017904160084,3.546332947093748,0.4610963088716501,0.47743471557154177,3.068898231522206,27.620084083699858,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,240,0.795,10.05,0.082,0.1891,0.1899,4.1864139020537126,0.4318062137967351,4.258813735558202,0.42965792417585574,0.47743471557154177,3.78137901998666,34.032411179879944,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,360,1.02,10.05,0.084,0.1891,0.1899,5.371248025276461,0.4423380726698262,5.464138377697315,0.4401373857411206,0.47743471557154177,4.986703662125773,44.880332959131955,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
3,G,1,1,27,cav4080209,G_1,Test sample,9.83,1440,1.527,10.05,0.08,0.1907,0.1899,8.041074249605055,0.421274354923644,8.180136571317451,0.419178462610591,0.47743471557154177,7.702701855745909,69.32431670171319,29.327644973058437,10.16,20.1635,32.683,0.060112113097472566,0.003492194033437439,75.2001768685504,227.54000000000002,146.5,305.67,50.025
